dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,31577,0.500000,1.000000,1.000000,1019431.000000,0.000687,0.008735,21.000000,0.000000,150610.000000,0.000000,-1,1.527151,2.500000
LP,10000000,0.600000,3,31577,0.500000,6.000000,6.000000,602999.000000,0.000582,0.000766,37.000000,0.000000,41.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,31577,0.500000,1.000000,1.000000,626605.000000,0.000607,0.000736,21.000000,0.000000,33.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,31577,0.500000,0.000000,0.000000,4015077.000000,0.000558,0.000660,21.000000,0.000000,32.000000,0.000000,-1053218,0.000000,0.000000
SPL,10000000,0.600000,3,31577,0.500000,1.212816,1.851761,1358208.000000,0.001227,0.001268,36.000000,0.000000,33.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,31577,0.500000,1.212816,1.851761,1623185.000000,0.001107,0.000846,29.000000,0.000000,57.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,31577,0.500000,1.000000,1.000000,375529.000000,0.000342,0.000337,28.000000,0.000000,63.000000,0.000000,11637097,0.696726,0.696726
