dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,1714,0.500000,1.000000,1.000000,1019611.000000,0.001296,0.024143,24.000000,0.000000,150233.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,1714,0.500000,2.000000,2.000000,607028.000000,0.000906,0.001063,23.000000,0.000000,27.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,1714,0.500000,1.000000,1.000000,628056.000000,0.001327,0.001272,20.000000,0.000000,23.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,1714,0.500000,0.000000,0.000000,4044739.000000,0.000975,0.001427,23.000000,0.000000,41.000000,0.000000,-1053160,0.000000,0.000000
SPL,10000000,0.600000,3,1714,0.500000,1.212702,1.851334,1554315.000000,0.008452,0.006862,100.000000,0.000000,153.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,1714,0.500000,1.212702,1.851334,1973063.000000,0.008957,0.009213,82.000000,0.000000,104.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,1714,0.500000,1.000000,1.000000,452202.000000,0.001559,0.000717,26.000000,0.000000,138.000000,0.000000,11629321,0.696726,0.696726
