dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,2225,0.500000,1.000000,1.000000,1151080.000000,0.000315,0.007916,16.000000,0.000000,149587.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,2225,0.500000,1.000000,1.000000,593941.000000,0.000314,0.000332,16.000000,0.000000,30.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,2225,0.500000,1.000000,1.000000,628493.000000,0.000175,0.000298,16.000000,0.000000,25.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,2225,0.500000,0.000000,0.000000,3998523.000000,0.000129,0.000189,19.000000,0.000000,20.000000,0.000000,-1053334,0.000000,0.000000
SPL,10000000,0.600000,3,2225,0.500000,1.213092,1.851604,1325914.000000,0.000360,0.000449,16.000000,0.000000,23.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,2225,0.500000,1.213092,1.851604,1580571.000000,0.000348,0.000290,23.000000,0.000000,18.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,2225,0.500000,1.000000,1.000000,365163.000000,0.000115,0.000094,15.000000,0.000000,17.000000,0.000000,11631792,0.696726,0.696726
