dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,8305,0.500000,4.000000,4.000000,887215.000000,0.005646,0.018035,31.000000,0.000000,156278.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,8305,0.500000,3.000000,3.000000,638798.000000,0.002690,0.003070,23.000000,0.000000,145.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,8305,0.500000,4.000000,4.000000,684186.000000,0.005286,0.004609,55.000000,0.000000,84.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,8305,0.500000,200.000000,200.000000,4300321.000000,0.005092,0.003621,51.000000,0.000000,36.000000,0.000000,-1053972,0.000000,0.000000
SPL,10000000,0.600000,3,8305,0.500000,1.212344,1.850886,1513068.000000,0.005741,0.005735,29.000000,0.000000,124.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,8305,0.500000,1.212344,1.850886,1783709.000000,0.013030,0.006596,109.000000,0.000000,78.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,8305,0.500000,1.000000,1.000000,449667.000000,0.002858,0.002738,22.000000,0.000000,21.000000,0.000000,11633276,0.696726,0.696726
