dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,14578,0.500000,2.000000,2.000000,1017874.000000,0.001874,0.026131,24.000000,0.000000,152543.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,14578,0.500000,3.000000,3.000000,606066.000000,0.001952,0.002107,21.000000,0.000000,26.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,14578,0.500000,5.000000,5.000000,634998.000000,0.001801,0.002040,22.000000,0.000000,98.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,14578,0.500000,200.000000,200.000000,4054031.000000,0.001246,0.001753,23.000000,0.000000,23.000000,0.000000,-1053936,0.000000,0.000000
SPL,10000000,0.600000,3,14578,0.500000,1.212779,1.851366,1462402.000000,0.013126,0.011500,42.000000,0.000000,128.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,14578,0.500000,1.212779,1.851366,1880867.000000,0.008629,0.005872,100.000000,0.000000,104.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,14578,0.500000,1.000000,1.000000,368748.000000,0.003572,0.003176,26.000000,0.000000,24.000000,0.000000,11628258,0.696726,0.696726
