dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,32668,0.500000,1.000000,1.000000,1071684.000000,0.006502,0.029754,633.000000,0.000000,158615.000000,0.000000,-1,1.527151,2.500000
LP,10000000,0.600000,3,32668,0.500000,1.000000,1.000000,676418.000000,0.008840,0.008327,637.000000,0.000000,394.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,32668,0.500000,1.000000,1.000000,731173.000000,0.008920,0.005091,388.000000,0.000000,385.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,32668,0.500000,200.000000,200.000000,4037514.000000,0.000836,0.001166,64.000000,0.000000,382.000000,0.000000,-1053313,0.000000,0.000000
SPL,10000000,0.600000,3,32668,0.500000,1.212971,1.851288,1375869.000000,0.000987,0.001041,403.000000,0.000000,397.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,32668,0.500000,1.212971,1.851288,1615839.000000,0.000965,0.000918,84.000000,0.000000,394.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,32668,0.500000,1.000000,1.000000,370606.000000,0.000327,0.000337,88.000000,0.000000,89.000000,0.000000,11634982,0.696726,0.696726
