dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,7056,0.500000,1.000000,1.000000,1007454.000000,0.000284,0.008096,16.000000,0.000000,148916.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,7056,0.500000,3.000000,3.000000,600566.000000,0.000205,0.000283,47.000000,0.000000,26.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,7056,0.500000,1.000000,1.000000,614521.000000,0.000230,0.000290,16.000000,0.000000,26.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,7056,0.500000,0.000000,0.000000,3992760.000000,0.000248,0.000239,26.000000,0.000000,16.000000,0.000000,-1053023,0.000000,0.000000
SPL,10000000,0.600000,3,7056,0.500000,1.213052,1.851401,1325031.000000,0.000425,0.000470,22.000000,0.000000,18.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,7056,0.500000,1.213052,1.851401,1577238.000000,0.000405,0.000328,22.000000,0.000000,21.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,7056,0.500000,1.000000,1.000000,365451.000000,0.000098,0.000113,16.000000,0.000000,14.000000,0.000000,11624185,0.696726,0.696726
