dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.600000,3,2346,0.500000,1.000000,1.000000,1004007.000000,0.000265,0.008035,18.000000,0.000000,148898.000000,0.000000,0,1.527151,2.500000
LP,10000000,0.600000,3,2346,0.500000,2.000000,2.000000,601097.000000,0.000478,0.000483,82.000000,0.000000,109.000000,0.000000,0,1.750000,3.625000
QP,10000000,0.600000,3,2346,0.500000,5.000000,5.000000,629761.000000,0.000341,0.000363,18.000000,0.000000,25.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.600000,3,2346,0.500000,200.000000,200.000000,3997555.000000,0.000184,0.000194,24.000000,0.000000,21.000000,0.000000,-1053737,0.000000,0.000000
SPL,10000000,0.600000,3,2346,0.500000,1.213042,1.851184,1322258.000000,0.000374,0.000453,16.000000,0.000000,22.000000,0.000000,0,1.180000,1.300000
SPV,10000000,0.600000,3,2346,0.500000,1.213042,1.851184,1587379.000000,0.000365,0.000304,20.000000,0.000000,20.000000,0.000000,0,1.180000,1.300000
BF,10000000,0.600000,3,2346,0.500000,1.000000,1.000000,364696.000000,0.000131,0.000112,17.000000,0.000000,19.000000,0.000000,11629777,0.696726,0.696726
