dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.400000,3,30579,0.500000,1.000000,1.000000,1154478.000000,0.000320,0.023168,32.000000,0.000000,224141.000000,0.000000,-1,1.277064,1.666667
LP,10000000,0.400000,3,30579,0.500000,1.000000,1.000000,505650.000000,0.000295,0.000302,20.000000,0.000000,137.000000,0.000000,0,1.333333,1.888889
QP,10000000,0.400000,3,30579,0.500000,1.000000,1.000000,622423.000000,0.000337,0.000441,25.000000,0.000000,28.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.400000,3,30579,0.500000,0.000000,0.000000,2862964.000000,0.000276,0.000348,27.000000,0.000000,36.000000,0.000000,-684662,0.000000,0.000000
SPL,10000000,0.400000,3,30579,0.500000,1.196144,1.786323,1346871.000000,0.000469,0.000522,105.000000,0.000000,38.000000,0.000000,0,1.080000,1.200000
SPV,10000000,0.400000,3,30579,0.500000,1.196144,1.786323,1584572.000000,0.000551,0.000382,89.000000,0.000000,48.000000,0.000000,0,1.080000,1.200000
BF,10000000,0.400000,3,30579,0.500000,1.000000,1.000000,419337.000000,0.000185,0.000162,35.000000,0.000000,33.000000,0.000000,6809194,0.488330,0.488330
