dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.400000,3,7056,0.500000,1.000000,1.000000,933294.000000,0.000249,0.011989,22.000000,0.000000,223742.000000,0.000000,0,1.277064,1.666667
LP,10000000,0.400000,3,7056,0.500000,3.000000,3.000000,505835.000000,0.000247,0.000312,14.000000,0.000000,153.000000,0.000000,0,1.333333,1.888889
QP,10000000,0.400000,3,7056,0.500000,1.000000,1.000000,640866.000000,0.006545,0.007077,26.000000,0.000000,4119.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.400000,3,7056,0.500000,0.000000,0.000000,3125362.000000,0.007334,0.006866,225.000000,0.000000,933.000000,0.000000,-683692,0.000000,0.000000
SPL,10000000,0.400000,3,7056,0.500000,1.196742,1.785953,1514362.000000,0.004266,0.006888,204.000000,0.000000,264.000000,0.000000,0,1.080000,1.200000
SPV,10000000,0.400000,3,7056,0.500000,1.196742,1.785953,1812833.000000,0.003369,0.006943,207.000000,0.000000,374.000000,0.000000,0,1.080000,1.200000
BF,10000000,0.400000,3,7056,0.500000,1.000000,1.000000,478083.000000,0.006214,0.005476,216.000000,0.000000,217.000000,0.000000,6814126,0.488330,0.488330
