dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.400000,3,6506,0.500000,1.000000,1.000000,933464.000000,0.000323,0.011984,17.000000,0.000000,223775.000000,0.000000,-1,1.277064,1.666667
LP,10000000,0.400000,3,6506,0.500000,1.000000,1.000000,507325.000000,0.000289,0.000342,139.000000,0.000000,27.000000,0.000000,0,1.333333,1.888889
QP,10000000,0.400000,3,6506,0.500000,1.000000,1.000000,622573.000000,0.000272,0.000492,16.000000,0.000000,135.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.400000,3,6506,0.500000,0.000000,0.000000,2862705.000000,0.000305,0.000353,27.000000,0.000000,97.000000,0.000000,-683901,0.000000,0.000000
SPL,10000000,0.400000,3,6506,0.500000,1.196411,1.785924,1341289.000000,0.000564,0.000524,28.000000,0.000000,37.000000,0.000000,0,1.080000,1.200000
SPV,10000000,0.400000,3,6506,0.500000,1.196411,1.785924,1577314.000000,0.000545,0.000405,16.000000,0.000000,71.000000,0.000000,0,1.080000,1.200000
BF,10000000,0.400000,3,6506,0.500000,1.000000,1.000000,392571.000000,0.000220,0.000151,107.000000,0.000000,26.000000,0.000000,6810842,0.488330,0.488330
