dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.400000,3,21402,0.500000,3.000000,3.000000,711324.000000,0.000301,0.023222,21.000000,0.000000,224520.000000,0.000000,0,1.277064,1.666667
LP,10000000,0.400000,3,21402,0.500000,2.000000,2.000000,503455.000000,0.000393,0.000337,27.000000,0.000000,135.000000,0.000000,0,1.333333,1.888889
QP,10000000,0.400000,3,21402,0.500000,3.000000,3.000000,629243.000000,0.000215,0.002153,17.000000,0.000000,132.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.400000,3,21402,0.500000,200.000000,200.000000,2923483.000000,0.001592,0.000552,27.000000,0.000000,140.000000,0.000000,-684709,0.000000,0.000000
SPL,10000000,0.400000,3,21402,0.500000,1.196003,1.785911,1339390.000000,0.000551,0.000530,28.000000,0.000000,28.000000,0.000000,0,1.080000,1.200000
SPV,10000000,0.400000,3,21402,0.500000,1.196003,1.785911,1582271.000000,0.000489,0.000404,27.000000,0.000000,41.000000,0.000000,0,1.080000,1.200000
BF,10000000,0.400000,3,21402,0.500000,1.000000,1.000000,401355.000000,0.000204,0.000165,20.000000,0.000000,28.000000,0.000000,6810081,0.488330,0.488330
