dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.400000,3,6812,0.500000,4.000000,4.000000,714003.000000,0.000274,0.000759,39.000000,0.000000,137.000000,0.000000,0,1.277064,1.666667
LP,10000000,0.400000,3,6812,0.500000,1.000000,1.000000,507136.000000,0.000360,0.000292,27.000000,0.000000,27.000000,0.000000,0,1.333333,1.888889
QP,10000000,0.400000,3,6812,0.500000,4.000000,4.000000,624495.000000,0.000255,0.000477,26.000000,0.000000,27.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.400000,3,6812,0.500000,200.000000,200.000000,2871350.000000,0.000303,0.000323,27.000000,0.000000,53.000000,0.000000,-684732,0.000000,0.000000
SPL,10000000,0.400000,3,6812,0.500000,1.196755,1.786146,1335133.000000,0.000470,0.000497,27.000000,0.000000,140.000000,0.000000,0,1.080000,1.200000
SPV,10000000,0.400000,3,6812,0.500000,1.196755,1.786146,1593212.000000,0.000450,0.000396,19.000000,0.000000,130.000000,0.000000,0,1.080000,1.200000
BF,10000000,0.400000,3,6812,0.500000,1.000000,1.000000,377246.000000,0.000165,0.000136,42.000000,0.000000,17.000000,0.000000,6803052,0.488330,0.488330
