dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,26838,0.500000,1.000000,1.000000,609340.000000,0.000366,0.022772,16.000000,0.000000,447081.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,26838,0.500000,1.000000,1.000000,477976.000000,0.000326,0.000361,20.000000,0.000000,23.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,26838,0.500000,1.000000,1.000000,661467.000000,0.000376,0.000934,16.000000,0.000000,28.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,26838,0.500000,0.000000,0.000000,1665515.000000,0.000251,0.000342,16.000000,0.000000,21.000000,0.000000,-309466,0.000000,0.000000
SPL,10000000,0.200000,3,26838,0.500000,1.180750,1.722859,1458083.000000,0.000674,0.000624,19.000000,0.000000,26.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,26838,0.500000,1.180750,1.722859,1732442.000000,0.000607,0.000415,16.000000,0.000000,21.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,26838,0.500000,1.000000,1.000000,581128.000000,0.000307,0.000263,22.000000,0.000000,21.000000,0.000000,1819251,0.203571,0.203571
