dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,9657,0.500000,1.000000,1.000000,623990.000000,0.000391,0.000392,20.000000,0.000000,20.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,9657,0.500000,1.000000,1.000000,481879.000000,0.000318,0.000395,20.000000,0.000000,22.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,9657,0.500000,1.000000,1.000000,660696.000000,0.000408,0.000921,14.000000,0.000000,34.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,9657,0.500000,0.000000,0.000000,1640977.000000,0.000300,0.000350,16.000000,0.000000,22.000000,0.000000,-309209,0.000000,0.000000
SPL,10000000,0.200000,3,9657,0.500000,1.180658,1.723285,1449001.000000,0.000668,0.000590,16.000000,0.000000,20.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,9657,0.500000,1.180658,1.723285,1896376.000000,0.000745,0.000416,16.000000,0.000000,30.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,9657,0.500000,1.000000,1.000000,588214.000000,0.000400,0.000220,20.000000,0.000000,21.000000,0.000000,1818549,0.203571,0.203571
