dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,25175,0.500000,1.000000,1.000000,1053648.000000,0.000354,0.000429,21.000000,0.000000,20.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,25175,0.500000,1.000000,1.000000,479698.000000,0.000342,0.000367,16.000000,0.000000,17.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,25175,0.500000,1.000000,1.000000,659546.000000,0.000374,0.000914,20.000000,0.000000,18.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,25175,0.500000,0.000000,0.000000,1644581.000000,0.000333,0.000311,17.000000,0.000000,19.000000,0.000000,-310387,0.000000,0.000000
SPL,10000000,0.200000,3,25175,0.500000,1.180462,1.723180,1463106.000000,0.000686,0.000556,16.000000,0.000000,21.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,25175,0.500000,1.180462,1.723180,1698758.000000,0.000573,0.000383,16.000000,0.000000,20.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,25175,0.500000,1.000000,1.000000,576836.000000,0.000330,0.000226,19.000000,0.000000,16.000000,0.000000,1820261,0.203571,0.203571
