dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,27570,0.500000,1.000000,1.000000,617685.000000,0.000996,0.023581,107.000000,0.000000,449502.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,27570,0.500000,2.000000,2.000000,485608.000000,0.000978,0.001095,124.000000,0.000000,123.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,27570,0.500000,1.000000,1.000000,667654.000000,0.001082,0.002051,121.000000,0.000000,148.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,27570,0.500000,0.000000,0.000000,1678763.000000,0.000783,0.000957,104.000000,0.000000,113.000000,0.000000,-310549,0.000000,0.000000
SPL,10000000,0.200000,3,27570,0.500000,1.180937,1.722974,1469604.000000,0.001507,0.001569,118.000000,0.000000,118.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,27570,0.500000,1.180937,1.722974,1727368.000000,0.001541,0.001224,127.000000,0.000000,165.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,27570,0.500000,1.000000,1.000000,597953.000000,0.000840,0.000767,123.000000,0.000000,123.000000,0.000000,1821038,0.203571,0.203571
