dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,6187,0.500000,1.000000,1.000000,609001.000000,0.000358,0.000382,19.000000,0.000000,23.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,6187,0.500000,1.000000,1.000000,478562.000000,0.000348,0.000366,26.000000,0.000000,36.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,6187,0.500000,5.000000,5.000000,654804.000000,0.000431,0.000906,16.000000,0.000000,29.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,6187,0.500000,0.000000,0.000000,1667319.000000,0.000366,0.000359,18.000000,0.000000,20.000000,0.000000,-309410,0.000000,0.000000
SPL,10000000,0.200000,3,6187,0.500000,1.180797,1.723397,1448229.000000,0.000612,0.000578,26.000000,0.000000,20.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,6187,0.500000,1.180797,1.723397,1713495.000000,0.000635,0.000417,20.000000,0.000000,114.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,6187,0.500000,1.000000,1.000000,593313.000000,0.000328,0.000271,16.000000,0.000000,104.000000,0.000000,1819703,0.203571,0.203571
