dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.200000,3,19091,0.500000,1.000000,1.000000,612290.000000,0.000366,0.000373,17.000000,0.000000,20.000000,0.000000,0,1.115718,1.250000
LP,10000000,0.200000,3,19091,0.500000,1.000000,1.000000,479354.000000,0.000380,0.000377,21.000000,0.000000,27.000000,0.000000,0,1.125000,1.281250
QP,10000000,0.200000,3,19091,0.500000,8.000000,8.000000,660497.000000,0.000333,0.000940,16.000000,0.000000,40.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.200000,3,19091,0.500000,0.000000,0.000000,1642315.000000,0.000335,0.000341,14.000000,0.000000,19.000000,0.000000,-309094,0.000000,0.000000
SPL,10000000,0.200000,3,19091,0.500000,1.180636,1.723032,1440970.000000,0.000630,0.000630,29.000000,0.000000,85.000000,0.000000,0,1.020000,1.100000
SPV,10000000,0.200000,3,19091,0.500000,1.180636,1.723032,1784923.000000,0.000620,0.000455,30.000000,0.000000,25.000000,0.000000,0,1.020000,1.100000
BF,10000000,0.200000,3,19091,0.500000,1.000000,1.000000,592068.000000,0.000403,0.000265,27.000000,0.000000,22.000000,0.000000,1819576,0.203571,0.203571
