dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.800000,3,23304,0.500000,9.000000,9.000000,1052895.000000,0.000450,0.015818,14.000000,0.000000,112744.000000,0.000000,0,2.011798,5.000000
LP,10000000,0.800000,3,23304,0.500000,21.000000,21.000000,761500.000000,0.001223,0.003251,31.000000,0.000000,28.000000,0.000000,0,3.000000,13.000001
QP,10000000,0.800000,3,23304,0.500000,1.000000,1.000000,798416.000000,0.001299,0.002436,19.000000,0.000000,107.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.800000,3,23304,0.500000,0.000000,0.000000,5088140.000000,0.001088,0.001213,15.000000,0.000000,19.000000,0.000000,-1390390,0.000000,0.000000
SPL,10000000,0.800000,3,23304,0.500000,1.252783,2.011451,1341066.000000,0.002020,0.002431,19.000000,0.000000,86.000000,0.000000,0,1.320000,1.400000
SPV,10000000,0.800000,3,23304,0.500000,1.252783,2.011451,1638873.000000,0.002135,0.001962,22.000000,0.000000,20.000000,0.000000,0,1.320000,1.400000
BF,10000000,0.800000,3,23304,0.500000,1.000000,1.000000,366493.000000,0.000618,0.000611,18.000000,0.000000,14.000000,0.000000,15028684,0.826794,0.826794
