dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.800000,3,14643,0.500000,1.000000,1.000000,1054445.000000,0.000461,0.009195,16.000000,0.000000,112272.000000,0.000000,0,2.011798,5.000000
LP,10000000,0.800000,3,14643,0.500000,8.000000,8.000000,754868.000000,0.000321,0.002061,17.000000,0.000000,17.000000,0.000000,0,3.000000,13.000001
QP,10000000,0.800000,3,14643,0.500000,1.000000,1.000000,782371.000000,0.000273,0.000729,12.000000,0.000000,28.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.800000,3,14643,0.500000,0.000000,0.000000,5040234.000000,0.000239,0.000312,11.000000,0.000000,112.000000,0.000000,-1389335,0.000000,0.000000
SPL,10000000,0.800000,3,14643,0.500000,1.252975,2.011542,1331034.000000,0.000603,0.000654,26.000000,0.000000,45.000000,0.000000,0,1.320000,1.400000
SPV,10000000,0.800000,3,14643,0.500000,1.252975,2.011542,1638628.000000,0.000521,0.000450,16.000000,0.000000,14.000000,0.000000,0,1.320000,1.400000
BF,10000000,0.800000,3,14643,0.500000,1.000000,1.000000,360386.000000,0.000162,0.000148,14.000000,0.000000,16.000000,0.000000,15028469,0.826794,0.826794
