dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.800000,3,6812,0.500000,4.000000,4.000000,1235865.000000,0.007844,0.020931,399.000000,0.000000,120313.000000,0.000000,0,2.011798,5.000000
LP,10000000,0.800000,3,6812,0.500000,2.000000,2.000000,783820.000000,0.001237,0.004575,93.000000,0.000000,508.000000,0.000000,0,3.000000,13.000001
QP,10000000,0.800000,3,6812,0.500000,4.000000,4.000000,831076.000000,0.004343,0.009207,153.000000,0.000000,257.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.800000,3,6812,0.500000,200.000000,200.000000,5241180.000000,0.003147,0.006538,152.000000,0.000000,374.000000,0.000000,-1390589,0.000000,0.000000
SPL,10000000,0.800000,3,6812,0.500000,1.253230,2.011689,1541761.000000,0.001902,0.005012,102.000000,0.000000,418.000000,0.000000,0,1.320000,1.400000
SPV,10000000,0.800000,3,6812,0.500000,1.253230,2.011689,1659317.000000,0.001648,0.001608,384.000000,0.000000,383.000000,0.000000,0,1.320000,1.400000
BF,10000000,0.800000,3,6812,0.500000,1.000000,1.000000,366610.000000,0.000763,0.000801,92.000000,0.000000,75.000000,0.000000,15036675,0.826794,0.826794
