dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.800000,3,7056,0.500000,4.000000,4.000000,1163342.000000,0.000944,0.014772,29.000000,0.000000,111919.000000,0.000000,0,2.011798,5.000000
LP,10000000,0.800000,3,7056,0.500000,6.000000,6.000000,751504.000000,0.000377,0.001971,21.000000,0.000000,27.000000,0.000000,0,3.000000,13.000001
QP,10000000,0.800000,3,7056,0.500000,1.000000,1.000000,789533.000000,0.000310,0.000940,20.000000,0.000000,31.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.800000,3,7056,0.500000,0.000000,0.000000,5038118.000000,0.000247,0.000398,22.000000,0.000000,14.000000,0.000000,-1389937,0.000000,0.000000
SPL,10000000,0.800000,3,7056,0.500000,1.253133,2.011797,1335078.000000,0.000565,0.000703,15.000000,0.000000,25.000000,0.000000,0,1.320000,1.400000
SPV,10000000,0.800000,3,7056,0.500000,1.253133,2.011797,1609082.000000,0.000565,0.000456,21.000000,0.000000,40.000000,0.000000,0,1.320000,1.400000
BF,10000000,0.800000,3,7056,0.500000,1.000000,1.000000,361365.000000,0.000164,0.000163,16.000000,0.000000,14.000000,0.000000,15037211,0.826794,0.826794
