dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,25596,0.500000,1.000000,1.000000,960571.000000,0.000351,0.020832,20.000000,0.000000,137136.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,25596,0.500000,4.000000,4.000000,689869.000000,0.000529,0.002563,17.000000,0.000000,29.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,25596,0.500000,1.000000,1.000000,708435.000000,0.000301,0.000782,16.000000,0.000000,21.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,25596,0.500000,0.000000,0.000000,4613316.000000,0.001500,0.003837,22.000000,0.000000,34.000000,0.000000,-1226352,0.000000,0.000000
SPL,10000000,0.700000,3,25596,0.500000,1.235328,1.941194,1392259.000000,0.003286,0.007779,25.000000,0.000000,954.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,25596,0.500000,1.235328,1.941194,1631892.000000,0.002709,0.007507,35.000000,0.000000,128.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,25596,0.500000,1.000000,1.000000,402629.000000,0.001716,0.001555,60.000000,0.000000,135.000000,0.000000,13512515,0.770083,0.770083
