dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,6670,0.500000,1.000000,1.000000,1127475.000000,0.002252,0.010422,88.000000,0.000000,132484.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,6670,0.500000,11.000000,11.000000,686628.000000,0.001476,0.002024,77.000000,0.000000,270.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,6670,0.500000,7.000000,7.000000,718984.000000,0.001983,0.001868,75.000000,0.000000,269.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,6670,0.500000,0.000000,0.000000,4617865.000000,0.000760,0.000810,75.000000,0.000000,219.000000,0.000000,-1224690,0.000000,0.000000
SPL,10000000,0.700000,3,6670,0.500000,1.235198,1.940448,1348994.000000,0.001417,0.001587,105.000000,0.000000,108.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,6670,0.500000,1.235198,1.940448,1631982.000000,0.002215,0.001855,115.000000,0.000000,135.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,6670,0.500000,1.000000,1.000000,369947.000000,0.000518,0.000481,84.000000,0.000000,76.000000,0.000000,13523181,0.770083,0.770083
