dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,6187,0.500000,1.000000,1.000000,952281.000000,0.000820,0.001728,77.000000,0.000000,88.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,6187,0.500000,1.000000,1.000000,681892.000000,0.000572,0.000961,76.000000,0.000000,88.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,6187,0.500000,4.000000,4.000000,710505.000000,0.000813,0.001374,106.000000,0.000000,96.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,6187,0.500000,200.000000,200.000000,4665055.000000,0.001201,0.005924,73.000000,0.000000,354.000000,0.000000,-1225211,0.000000,0.000000
SPL,10000000,0.700000,3,6187,0.500000,1.235009,1.940520,1480452.000000,0.008034,0.007834,255.000000,0.000000,391.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,6187,0.500000,1.235009,1.940520,2028800.000000,0.013498,0.014048,344.000000,0.000000,1160.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,6187,0.500000,1.000000,1.000000,442237.000000,0.003974,0.004600,930.000000,0.000000,3964.000000,0.000000,13512598,0.770083,0.770083
