dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,18599,0.500000,2.000000,2.000000,1246385.000000,0.006568,0.007573,30.000000,0.000000,80.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,18599,0.500000,2.000000,2.000000,729961.000000,0.002635,0.003069,42.000000,0.000000,76.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,18599,0.500000,3.000000,3.000000,731710.000000,0.001398,0.007227,25.000000,0.000000,87.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,18599,0.500000,200.000000,200.000000,4679753.000000,0.005744,0.004982,29.000000,0.000000,98.000000,0.000000,-1227195,0.000000,0.000000
SPL,10000000,0.700000,3,18599,0.500000,1.235091,1.940571,1483318.000000,0.015918,0.003675,54.000000,0.000000,32.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,18599,0.500000,1.235091,1.940571,1676554.000000,0.004795,0.005757,23.000000,0.000000,113.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,18599,0.500000,1.000000,1.000000,404502.000000,0.002039,0.001755,229.000000,0.000000,79.000000,0.000000,13512234,0.770083,0.770083
