dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,13692,0.500000,4.000000,4.000000,948885.000000,0.000517,0.001540,42.000000,0.000000,63.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,13692,0.500000,2.000000,2.000000,674380.000000,0.000318,0.000553,21.000000,0.000000,23.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,13692,0.500000,5.000000,5.000000,710781.000000,0.000607,0.000844,21.000000,0.000000,39.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,13692,0.500000,200.000000,200.000000,4545659.000000,0.000355,0.000474,16.000000,0.000000,25.000000,0.000000,-1226791,0.000000,0.000000
SPL,10000000,0.700000,3,13692,0.500000,1.235217,1.940673,1334855.000000,0.000860,0.001068,16.000000,0.000000,29.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,13692,0.500000,1.235217,1.940673,1671530.000000,0.001502,0.005502,28.000000,0.000000,41.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,13692,0.500000,1.000000,1.000000,385856.000000,0.001931,0.001524,3346.000000,0.000000,715.000000,0.000000,13520384,0.770083,0.770083
