dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,29011,0.500000,11.000000,11.000000,1000609.000000,0.004845,0.020752,25.000000,0.000000,133517.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,29011,0.500000,17.000000,17.000000,715270.000000,0.004448,0.005375,26.000000,0.000000,36.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,29011,0.500000,9.000000,9.000000,750460.000000,0.004336,0.005922,22.000000,0.000000,106.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,29011,0.500000,200.000000,200.000000,4745284.000000,0.003835,0.004372,22.000000,0.000000,34.000000,0.000000,-1227468,0.000000,0.000000
SPL,10000000,0.700000,3,29011,0.500000,1.234712,1.940186,1521148.000000,0.008872,0.008945,32.000000,0.000000,35.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,29011,0.500000,1.234712,1.940186,1857984.000000,0.008565,0.007095,34.000000,0.000000,27.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,29011,0.500000,1.000000,1.000000,409984.000000,0.002629,0.002378,75.000000,0.000000,24.000000,0.000000,13519700,0.770083,0.770083
