dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,10140,0.500000,4.000000,4.000000,1113297.000000,0.003664,0.019304,27.000000,0.000000,131427.000000,0.000000,-1,1.719961,3.333333
LP,10000000,0.700000,3,10140,0.500000,12.000000,12.000000,709660.000000,0.003355,0.004513,21.000000,0.000000,64.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,10140,0.500000,1.000000,1.000000,738469.000000,0.003799,0.004734,21.000000,0.000000,25.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,10140,0.500000,0.000000,0.000000,4691079.000000,0.002810,0.003599,21.000000,0.000000,22.000000,0.000000,-1226239,0.000000,0.000000
SPL,10000000,0.700000,3,10140,0.500000,1.234983,1.940617,1444130.000000,0.006674,0.007452,114.000000,0.000000,38.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,10140,0.500000,1.234983,1.940617,1777016.000000,0.006207,0.005574,24.000000,0.000000,948.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,10140,0.500000,1.000000,1.000000,382472.000000,0.002033,0.001837,29.000000,0.000000,21.000000,0.000000,13510839,0.770083,0.770083
