dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.700000,3,2346,0.500000,1.000000,1.000000,947505.000000,0.000817,0.007960,62.000000,0.000000,128287.000000,0.000000,0,1.719961,3.333333
LP,10000000,0.700000,3,2346,0.500000,4.000000,4.000000,691715.000000,0.001571,0.001205,62.000000,0.000000,28.000000,0.000000,0,2.166667,6.055555
QP,10000000,0.700000,3,2346,0.500000,1.000000,1.000000,698411.000000,0.000561,0.000944,63.000000,0.000000,137.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.700000,3,2346,0.500000,0.000000,0.000000,4542588.000000,0.000668,0.001385,21.000000,0.000000,76.000000,0.000000,-1226045,0.000000,0.000000
SPL,10000000,0.700000,3,2346,0.500000,1.235466,1.940503,1340114.000000,0.001070,0.001125,65.000000,0.000000,139.000000,0.000000,0,1.245000,1.350000
SPV,10000000,0.700000,3,2346,0.500000,1.235466,1.940503,1635000.000000,0.000899,0.000863,60.000000,0.000000,134.000000,0.000000,0,1.245000,1.350000
BF,10000000,0.700000,3,2346,0.500000,1.000000,1.000000,365296.000000,0.000513,0.000550,48.000000,0.000000,22.000000,0.000000,13512479,0.770083,0.770083
