dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.300000,3,11052,0.500000,1.000000,1.000000,651132.000000,0.000322,0.000447,16.000000,0.000000,24.000000,0.000000,0,1.188917,1.428571
LP,10000000,0.300000,3,11052,0.500000,2.000000,2.000000,505136.000000,0.000279,0.000284,16.000000,0.000000,20.000000,0.000000,0,1.214286,1.520408
QP,10000000,0.300000,3,11052,0.500000,1.000000,1.000000,561593.000000,0.000386,0.000397,25.000000,0.000000,26.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.300000,3,11052,0.500000,0.000000,0.000000,2266884.000000,0.000309,0.000338,16.000000,0.000000,31.000000,0.000000,-495260,0.000000,0.000000
SPL,10000000,0.300000,3,11052,0.500000,1.185408,1.740348,1373619.000000,0.000531,0.000483,20.000000,0.000000,26.000000,0.000000,0,1.045000,1.150000
SPV,10000000,0.300000,3,11052,0.500000,1.185408,1.740348,1603551.000000,0.000513,0.000351,17.000000,0.000000,25.000000,0.000000,0,1.045000,1.150000
BF,10000000,0.300000,3,11052,0.500000,1.000000,1.000000,435368.000000,0.000181,0.000168,20.000000,0.000000,16.000000,0.000000,4209012,0.352160,0.352160
