dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.300000,3,3520,0.500000,1.000000,1.000000,944882.000000,0.000288,0.015373,25.000000,0.000000,298474.000000,0.000000,-1,1.188917,1.428571
LP,10000000,0.300000,3,3520,0.500000,1.000000,1.000000,485952.000000,0.000329,0.000297,16.000000,0.000000,26.000000,0.000000,0,1.214286,1.520408
QP,10000000,0.300000,3,3520,0.500000,1.000000,1.000000,562836.000000,0.000344,0.000417,16.000000,0.000000,28.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.300000,3,3520,0.500000,0.000000,0.000000,2288163.000000,0.000332,0.000346,28.000000,0.000000,31.000000,0.000000,-494564,0.000000,0.000000
SPL,10000000,0.300000,3,3520,0.500000,1.185081,1.740755,1350011.000000,0.000467,0.000496,25.000000,0.000000,27.000000,0.000000,0,1.045000,1.150000
SPV,10000000,0.300000,3,3520,0.500000,1.185081,1.740755,1611496.000000,0.000468,0.000382,19.000000,0.000000,29.000000,0.000000,0,1.045000,1.150000
BF,10000000,0.300000,3,3520,0.500000,1.000000,1.000000,411990.000000,0.000210,0.000171,19.000000,0.000000,27.000000,0.000000,4207504,0.352160,0.352160
