dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.300000,3,28777,0.500000,1.000000,1.000000,652784.000000,0.000347,0.045204,18.000000,0.000000,298407.000000,0.000000,0,1.188917,1.428571
LP,10000000,0.300000,3,28777,0.500000,1.000000,1.000000,486569.000000,0.000275,0.000311,16.000000,0.000000,20.000000,0.000000,0,1.214286,1.520408
QP,10000000,0.300000,3,28777,0.500000,1.000000,1.000000,560640.000000,0.000315,0.000418,26.000000,0.000000,22.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.300000,3,28777,0.500000,0.000000,0.000000,2268190.000000,0.000212,0.000345,17.000000,0.000000,27.000000,0.000000,-495877,0.000000,0.000000
SPL,10000000,0.300000,3,28777,0.500000,1.185493,1.740949,1371544.000000,0.000494,0.000519,25.000000,0.000000,25.000000,0.000000,0,1.045000,1.150000
SPV,10000000,0.300000,3,28777,0.500000,1.185493,1.740949,1603444.000000,0.000457,0.000425,16.000000,0.000000,24.000000,0.000000,0,1.045000,1.150000
BF,10000000,0.300000,3,28777,0.500000,1.000000,1.000000,429740.000000,0.000247,0.000164,20.000000,0.000000,16.000000,0.000000,4202902,0.352160,0.352160
