dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,24628,0.500000,1.000000,1.000000,781483.000000,0.000275,0.009866,16.000000,0.000000,178704.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,24628,0.500000,1.000000,1.000000,549111.000000,0.000266,0.000315,16.000000,0.000000,27.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,24628,0.500000,1.000000,1.000000,783394.000000,0.000376,1.187925,28.000000,0.000000,108.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,24628,0.500000,0.000000,0.000000,3445602.000000,0.000304,0.000305,17.000000,0.000000,23.000000,0.000000,-872303,0.000000,0.000000
SPL,10000000,0.500000,3,24628,0.500000,1.205334,1.820245,1333858.000000,0.000478,0.000601,26.000000,0.000000,29.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,24628,0.500000,1.205334,1.820245,1580191.000000,0.000510,0.000438,25.000000,0.000000,24.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,24628,0.500000,1.000000,1.000000,373216.000000,0.000201,0.000198,25.000000,0.000000,125.000000,0.000000,9371490,0.603527,0.603527
