dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,10140,0.500000,1.000000,1.000000,793957.000000,0.001845,0.015477,120.000000,0.000000,179228.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,10140,0.500000,2.000000,2.000000,579418.000000,0.002635,0.002971,108.000000,0.000000,374.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,10140,0.500000,1.000000,1.000000,807066.000000,0.005050,1.266732,198.000000,0.000000,6705.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,10140,0.500000,0.000000,0.000000,3527331.000000,0.001420,0.001020,110.000000,0.000000,123.000000,0.000000,-873995,0.000000,0.000000
SPL,10000000,0.500000,3,10140,0.500000,1.205067,1.820296,1369862.000000,0.002698,0.002831,23.000000,0.000000,26.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,10140,0.500000,1.205067,1.820296,1621735.000000,0.000693,0.002155,26.000000,0.000000,29.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,10140,0.500000,1.000000,1.000000,373479.000000,0.002226,0.001966,74.000000,0.000000,23.000000,0.000000,9363524,0.603527,0.603527
