dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,26838,0.500000,3.000000,3.000000,794032.000000,0.000877,0.010861,97.000000,0.000000,179558.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,26838,0.500000,1.000000,1.000000,557054.000000,0.001086,0.000970,142.000000,0.000000,173.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,26838,0.500000,1.000000,1.000000,769116.000000,0.000991,0.823286,160.000000,0.000000,174.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,26838,0.500000,0.000000,0.000000,3471500.000000,0.000724,0.000895,79.000000,0.000000,111.000000,0.000000,-873208,0.000000,0.000000
SPL,10000000,0.500000,3,26838,0.500000,1.204963,1.819849,1356457.000000,0.001370,0.001839,112.000000,0.000000,141.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,26838,0.500000,1.204963,1.819849,1615497.000000,0.001512,0.001272,162.000000,0.000000,113.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,26838,0.500000,1.000000,1.000000,373049.000000,0.000445,0.000481,88.000000,0.000000,101.000000,0.000000,9367182,0.603527,0.603527
