dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,9483,0.500000,1.000000,1.000000,781149.000000,0.000361,0.009814,20.000000,0.000000,179193.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,9483,0.500000,4.000000,4.000000,551252.000000,0.000176,0.000321,19.000000,0.000000,24.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,9483,0.500000,1.000000,1.000000,766694.000000,0.000321,1.022985,18.000000,0.000000,134.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,9483,0.500000,0.000000,0.000000,3442333.000000,0.000272,0.000313,16.000000,0.000000,27.000000,0.000000,-872223,0.000000,0.000000
SPL,10000000,0.500000,3,9483,0.500000,1.205294,1.820164,1369480.000000,0.000512,0.000541,28.000000,0.000000,33.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,9483,0.500000,1.205294,1.820164,1610160.000000,0.002595,0.001977,26.000000,0.000000,27.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,9483,0.500000,1.000000,1.000000,370409.000000,0.002422,0.001004,93.000000,0.000000,26.000000,0.000000,9367064,0.603527,0.603527
