dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,7182,0.500000,3.000000,3.000000,782533.000000,0.000285,0.018644,20.000000,0.000000,178914.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,7182,0.500000,1.000000,1.000000,551471.000000,0.000334,0.000341,29.000000,0.000000,30.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,7182,0.500000,2.000000,2.000000,779487.000000,0.000220,1.266455,16.000000,0.000000,136.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,7182,0.500000,200.000000,200.000000,3439175.000000,0.000285,0.000308,25.000000,0.000000,23.000000,0.000000,-872017,0.000000,0.000000
SPL,10000000,0.500000,3,7182,0.500000,1.204963,1.820327,1359191.000000,0.000665,0.000586,32.000000,0.000000,25.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,7182,0.500000,1.204963,1.820327,1578456.000000,0.000462,0.000402,27.000000,0.000000,24.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,7182,0.500000,1.000000,1.000000,381508.000000,0.000154,0.000132,16.000000,0.000000,16.000000,0.000000,9370196,0.603527,0.603527
