dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.500000,3,10766,0.500000,6.000000,6.000000,782791.000000,0.000402,0.000838,17.000000,0.000000,30.000000,0.000000,0,1.386294,2.000000
LP,10000000,0.500000,3,10766,0.500000,3.000000,3.000000,554692.000000,0.000289,0.000325,20.000000,0.000000,25.000000,0.000000,0,1.500000,2.500000
QP,10000000,0.500000,3,10766,0.500000,2.000000,2.000000,773240.000000,0.000347,0.856301,20.000000,0.000000,88.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.500000,3,10766,0.500000,200.000000,200.000000,3440116.000000,0.000153,0.000318,12.000000,0.000000,27.000000,0.000000,-872798,0.000000,0.000000
SPL,10000000,0.500000,3,10766,0.500000,1.205081,1.820584,1337100.000000,0.000570,0.000549,21.000000,0.000000,20.000000,0.000000,0,1.125000,1.250000
SPV,10000000,0.500000,3,10766,0.500000,1.205081,1.820584,1583518.000000,0.000550,0.000426,19.000000,0.000000,29.000000,0.000000,0,1.125000,1.250000
BF,10000000,0.500000,3,10766,0.500000,1.000000,1.000000,369290.000000,0.000168,0.000147,23.000000,0.000000,16.000000,0.000000,9371122,0.603527,0.603527
