dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,26202,0.500000,1.000000,1.000000,1436349.000000,0.000143,0.000241,16.000000,0.000000,27.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,26202,0.500000,1.000000,1.000000,490167.000000,0.000222,0.000225,27.000000,0.000000,27.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,26202,0.500000,1.000000,1.000000,691302.000000,0.000262,0.000996,16.000000,0.000000,136.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,26202,0.500000,0.000000,0.000000,436075.000000,0.000299,0.000753,27.000000,0.000000,58.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,26202,0.500000,1.176783,1.707175,1877138.000000,0.004342,0.001111,24.000000,0.000000,62.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,26202,0.500000,1.176783,1.707175,1966660.000000,0.002237,0.001002,16.000000,0.000000,32.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,26202,0.500000,1.000000,1.000000,919258.000000,0.000720,0.000445,22.000000,0.000000,32.000000,0.000000,371749,0.067175,0.067175
