dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,24195,0.500000,2.000000,2.000000,566624.000000,0.000223,0.000209,16.000000,0.000000,27.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,24195,0.500000,1.000000,1.000000,477671.000000,0.000187,0.000209,27.000000,0.000000,132.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,24195,0.500000,10.000000,10.000000,689696.000000,0.000215,0.000886,16.000000,0.000000,157.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,24195,0.500000,1.000000,1.000000,436428.000000,0.000184,0.000199,26.000000,0.000000,38.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,24195,0.500000,1.176611,1.706847,1668666.000000,0.000562,0.000416,146.000000,0.000000,27.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,24195,0.500000,1.176611,1.706847,1936968.000000,0.000479,0.000295,135.000000,0.000000,27.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,24195,0.500000,1.000000,1.000000,915340.000000,0.000154,0.000194,13.000000,0.000000,135.000000,0.000000,370898,0.067175,0.067175
