dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,19223,0.500000,1.000000,1.000000,552535.000000,0.000125,0.000233,59.000000,0.000000,135.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,19223,0.500000,1.000000,1.000000,488248.000000,0.000214,0.000191,26.000000,0.000000,31.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,19223,0.500000,1.000000,1.000000,689175.000000,0.000260,0.000876,135.000000,0.000000,102.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,19223,0.500000,0.000000,0.000000,424332.000000,0.000181,0.000209,27.000000,0.000000,143.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,19223,0.500000,1.176607,1.706758,1677354.000000,0.000421,0.000476,28.000000,0.000000,135.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,19223,0.500000,1.176607,1.706758,1931262.000000,0.000435,0.000301,34.000000,0.000000,132.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,19223,0.500000,1.000000,1.000000,915529.000000,0.000278,0.000180,134.000000,0.000000,27.000000,0.000000,371826,0.067175,0.067175
