dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,23852,0.500000,1.000000,1.000000,565221.000000,0.002552,0.005435,21.000000,0.000000,4448.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,23852,0.500000,1.000000,1.000000,549998.000000,0.003683,0.001641,26.000000,0.000000,26.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,23852,0.500000,1.000000,1.000000,694475.000000,0.000688,0.001718,17.000000,0.000000,114.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,23852,0.500000,0.000000,0.000000,437825.000000,0.000584,0.000537,16.000000,0.000000,29.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,23852,0.500000,1.177031,1.707423,1729431.000000,0.000895,0.007677,16.000000,0.000000,136.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,23852,0.500000,1.177031,1.707423,2172471.000000,0.007382,0.005564,32.000000,0.000000,33.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,23852,0.500000,1.000000,1.000000,968401.000000,0.002758,0.001956,18.000000,0.000000,27.000000,0.000000,370275,0.067175,0.067175
