dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,9483,0.500000,1.000000,1.000000,595228.000000,0.007050,0.005302,54.000000,0.000000,85.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,9483,0.500000,3.000000,3.000000,572645.000000,0.006585,0.002217,28.000000,0.000000,172.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,9483,0.500000,9.000000,9.000000,691270.000000,0.000535,0.005258,16.000000,0.000000,121.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,9483,0.500000,0.000000,0.000000,457182.000000,0.004752,0.002167,21.000000,0.000000,20.000000,0.000000,-1,0.000000,0.000000
SPL,10000000,0.100000,3,9483,0.500000,1.176957,1.706795,1736534.000000,0.000639,0.001882,26.000000,0.000000,28.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,9483,0.500000,1.176957,1.706795,2129313.000000,0.002838,0.004424,23.000000,0.000000,26.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,9483,0.500000,1.000000,1.000000,1040028.000000,0.005209,0.002305,21.000000,0.000000,27.000000,0.000000,371152,0.067175,0.067175
