dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,9860,0.500000,1.000000,1.000000,565309.000000,0.000159,0.000236,27.000000,0.000000,132.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,9860,0.500000,1.000000,1.000000,476755.000000,0.000257,0.000212,16.000000,0.000000,31.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,9860,0.500000,1.000000,1.000000,689820.000000,0.000262,0.000897,127.000000,0.000000,33.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,9860,0.500000,0.000000,0.000000,438642.000000,0.000112,0.000216,26.000000,0.000000,131.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,9860,0.500000,1.176933,1.707170,1678216.000000,0.000422,0.000429,28.000000,0.000000,136.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,9860,0.500000,1.176933,1.707170,1975117.000000,0.000432,0.000298,56.000000,0.000000,132.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,9860,0.500000,1.000000,1.000000,912191.000000,0.000270,0.000175,29.000000,0.000000,32.000000,0.000000,370983,0.067175,0.067175
