dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.100000,3,14643,0.500000,1.000000,1.000000,572030.000000,0.000755,0.000740,28.000000,0.000000,82.000000,0.000000,0,1.053606,1.111111
LP,10000000,0.100000,3,14643,0.500000,1.000000,1.000000,479672.000000,0.000556,0.000466,22.000000,0.000000,33.000000,0.000000,0,1.055556,1.117284
QP,10000000,0.100000,3,14643,0.500000,1.000000,1.000000,689864.000000,0.000548,0.001423,28.000000,0.000000,132.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.100000,3,14643,0.500000,0.000000,0.000000,438302.000000,0.000684,0.000847,16.000000,0.000000,73.000000,0.000000,0,0.000000,0.000000
SPL,10000000,0.100000,3,14643,0.500000,1.176619,1.706759,1782461.000000,0.001017,0.001289,28.000000,0.000000,135.000000,0.000000,0,1.005000,1.050000
SPV,10000000,0.100000,3,14643,0.500000,1.176619,1.706759,2044133.000000,0.001500,0.001407,28.000000,0.000000,33.000000,0.000000,0,1.005000,1.050000
BF,10000000,0.100000,3,14643,0.500000,1.000000,1.000000,932199.000000,0.000396,0.000425,31.000000,0.000000,34.000000,0.000000,371788,0.067175,0.067175
