dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.900000,3,32090,0.500000,3.000000,3.000000,1225155.000000,0.000596,0.071945,57.000000,0.000000,99937.000000,0.000000,0,2.558428,9.999998
LP,10000000,0.900000,3,32090,0.500000,2.000000,2.000000,906789.000000,0.004887,0.101621,117.000000,0.000000,156.000000,0.000000,0,5.499999,50.499978
QP,10000000,0.900000,3,32090,0.500000,30.000000,30.000000,978753.000000,0.000703,0.017596,136.000000,0.000000,53.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.900000,3,32090,0.500000,200.000000,200.000000,5509074.000000,0.000433,0.000543,21.000000,0.000000,51.000000,0.000000,-1544117,0.000000,0.000000
SPL,10000000,0.900000,3,32090,0.500000,1.267748,2.071432,1332970.000000,0.000898,0.000968,52.000000,0.000000,130.000000,0.000000,0,1.405000,1.450000
SPV,10000000,0.900000,3,32090,0.500000,1.267748,2.071432,1643941.000000,0.000948,0.000757,100.000000,0.000000,54.000000,0.000000,0,1.405000,1.450000
BF,10000000,0.900000,3,32090,0.500000,1.000000,1.000000,361094.000000,0.000275,0.000296,52.000000,0.000000,21.000000,0.000000,16242735,0.870106,0.870106
