dictionaryType,n,loadFactor,nHashFunctions,seed,keyPercentage,avgSuccessProbes,avgFailProbes,buildTime,successMeanTime,failMeanTime,successMaxTime,successMinTime,failMaxTime,failMinTime,falsePositives,successTheoricalValue,failTheoricalValue
DH,10000000,0.900000,3,28075,0.500000,34.000000,34.000000,1228577.000000,0.000606,0.057459,33.000000,0.000000,99433.000000,0.000000,0,2.558428,9.999998
LP,10000000,0.900000,3,28075,0.500000,175.000000,175.000000,910010.000000,0.000403,0.095096,21.000000,0.000000,140.000000,0.000000,0,5.499999,50.499978
QP,10000000,0.900000,3,28075,0.500000,12.000000,12.000000,911164.000000,0.000464,0.016070,65.000000,0.000000,139.000000,0.000000,0,0.000000,0.000000
CK,10000000,0.900000,3,28075,0.500000,0.000000,0.000000,5503586.000000,0.000289,0.000383,32.000000,0.000000,33.000000,0.000000,-1544207,0.000000,0.000000
SPL,10000000,0.900000,3,28075,0.500000,1.267779,2.071467,1324831.000000,0.000617,0.000776,34.000000,0.000000,35.000000,0.000000,0,1.405000,1.450000
SPV,10000000,0.900000,3,28075,0.500000,1.267779,2.071467,1646729.000000,0.000732,0.000561,36.000000,0.000000,34.000000,0.000000,0,1.405000,1.450000
BF,10000000,0.900000,3,28075,0.500000,1.000000,1.000000,361097.000000,0.000201,0.000180,133.000000,0.000000,20.000000,0.000000,16231013,0.870106,0.870106
